75029,webapp-page-close,96576,41144,32756,32756,96576,32756,0,0,loopTask,7104,7104,0,3328,3344
75071,disable-start,96576,41144,32756,32756,96576,32756,0,0,loopTask,7104,7104,0,3328,3344
75100,after-user-stop,96908,41144,32756,32756,96908,32756,0,0,loopTask,7104,7104,0,3328,3344
75109,disabled,96908,41144,32756,32756,96908,32756,0,0,loopTask,7104,7104,0,3328,3344
75166,ble-setup-before,96908,41144,32756,32756,96908,32756,0,0,loopTask,7104,7104,0,3328,3344
75185,ble-queue,46832,41144,31732,31732,46832,31732,0,0,loopTask,7104,7104,0,3328,3344
75197,ble-task,41328,41144,31732,31732,41328,31732,0,0,loopTask,7104,7104,3996,3328,3344
75207,ble-setup-after,41268,36504,31732,31732,41268,31732,0,0,loopTask,7104,7104,3996,3328,3344
75217,ble-start-before,41268,36444,31732,31732,41268,31732,0,0,loopTask,7104,7104,3996,3328,3344
75228,ble-start-after,41188,36444,31732,31732,41188,31732,0,0,loopTask,7104,7104,3996,3328,3344
75238,after-resume-services,41188,36364,31732,31732,41188,31732,0,0,loopTask,7104,7104,3996,3328,3344
75261,webapp-page-disabled,41188,36364,31732,31732,41188,31732,0,0,loopTask,7104,7104,3996,3328,3344
75277,main-heartbeat,41188,36364,31732,31732,41188,31732,0,0,loopTask,7104,7104,3996,3328,3344
81110,main-heartbeat,42116,36192,31732,31732,42116,31732,0,0,loopTask,7104,7104,3724,3328,3344
671,sd-mounted,192292,191616,131060,131060,192292,131060,0,0,loopTask,9892,9892,0,3328,3344
700,boot-reset,191968,187596,122868,122868,191968,122868,0,0,loopTask,9040,9040,0,3328,3344
710,nav-size-report,191968,187436,122868,122868,191968,122868,0,0,loopTask,8992,8992,0,3328,3344
934,periph-sd,162756,162756,98292,98292,162756,98292,0,0,loopTask,8992,8992,0,3328,3344
1046,periph-lc86g,160460,158228,98292,98292,160460,98292,0,0,loopTask,8992,8992,0,3328,3344
1056,periph-gps,160352,155928,98292,98292,160352,98292,0,0,loopTask,8992,8992,0,3328,3344
1066,periph-wire,160352,155824,98292,98292,160352,98292,0,0,loopTask,8992,8992,0,3328,3344
1223,periph-display,160352,155824,98292,98292,160352,98292,0,0,loopTask,8992,8992,0,3328,3344
