millis,event,enabled,using_leaf_wifi,user_server_started,debug_routes_configured,ap_stations,max_ap_stations,wifi_status,free_heap,max_alloc_heap,loop_count,handle_count,root,app,status,profiles_get,profiles_put,logbook,logbook_entry,logbook_delete,waypoints_upload,routes_import,not_found,ap_ip
75088,disable-start,1,0,1,1,0,0,3,92152,32756,32611,32611,0,1,1,1,0,1,0,0,0,0,0,0.0.0.0
75124,disabled,0,0,0,1,0,0,3,92484,32756,32611,32611,0,1,1,1,0,1,0,0,0,0,0,0.0.0.0
